Year,Start Date,End Date,Primal Sign
1904,Jan 20,Feb 15,Sloth
1904,Feb 16,Feb 19,Leopard
1904,Feb 20,Mar 20,Firefly
1904,Mar 21,Apr 19,Tyrannosaurus Rex
1904,Apr 20,May 20,Rattlesnake
1904,May 21,Jun 21,Hummingbird
1904,Jun 22,Jul 21,Hornet
1904,Jul 22,Aug 22,Orca
1904,Aug 23,Sep 22,Polar Bear
1904,Sep 23,Oct 23,Porcupine
1904,Oct 24,Nov 21,Jaguar
1904,Nov 22,Dec 21,Whale
1904,Dec 22,Dec 31,Eagle
1905,Jan 01,Jan 19,Eagle
1905,Jan 20,Feb 03,Leopard
1905,Feb 04,Feb 19,Boa Constrictor
1905,Feb 20,Mar 20,Frog
1905,Mar 21,Apr 19,Praying Mantis
1905,Apr 20,May 20,Jackal
1905,May 21,Jun 21,Lemur
1905,Jun 22,Jul 21,Snail
1905,Jul 22,Aug 22,Fox
1905,Aug 23,Sep 22,Jellyfish
1905,Sep 23,Oct 23,Ladybug
1905,Oct 24,Nov 21,Anglerfish
1905,Nov 22,Dec 21,Tarantula
1905,Dec 22,Dec 31,Alligator
1906,Jan 01,Jan 19,Alligator
1906,Jan 20,Jan 24,Boa Constrictor
1906,Jan 25,Feb 19,Unicorn
1906,Feb 20,Mar 20,Gecko
1906,Mar 21,Apr 19,Hammerhead Shark
1906,Apr 20,May 20,Kangaroo
1906,May 21,Jun 21,Great White Shark
1906,Jun 22,Jul 21,Hermit Crab
1906,Jul 22,Aug 22,Hyena
1906,Aug 23,Sep 22,Giraffe
1906,Sep 23,Oct 23,Goose
1906,Oct 24,Nov 21,Dragonfly
1906,Nov 22,Dec 21,Dove
1906,Dec 22,Dec 31,Salmon
1907,Jan 01,Jan 19,Salmon
1907,Jan 20,Feb 12,Unicorn
1907,Feb 13,Feb 19,Handfish
1907,Feb 20,Mar 20,Leafy Seadragon
1907,Mar 21,Apr 19,Catfish
1907,Apr 20,May 20,Buffalo
1907,May 21,Jun 21,Centipede
1907,Jun 22,Jul 21,Duck
1907,Jul 22,Aug 22,Swan
1907,Aug 23,Sep 22,Flamingo
1907,Sep 23,Oct 23,Clownfish
1907,Oct 24,Nov 21,Panda
1907,Nov 22,Dec 21,Tortoise
1907,Dec 22,Dec 31,Mole
1908,Jan 01,Jan 19,Mole
1908,Jan 20,Feb 01,Handfish
1908,Feb 02,Feb 19,Dolphin
1908,Feb 20,Mar 20,Cheetah
1908,Mar 21,Apr 19,Gorilla
1908,Apr 20,May 20,Ostrich
1908,May 21,Jun 21,Seal
1908,Jun 22,Jul 21,Emperor Tamarin
1908,Jul 22,Aug 22,Ferret
1908,Aug 23,Sep 22,Penguin
1908,Sep 23,Oct 23,Axolotl
1908,Oct 24,Nov 21,Raven
1908,Nov 22,Dec 21,Roadrunner
1908,Dec 22,Dec 31,Woodpecker
1909,Jan 01,Jan 19,Woodpecker
1909,Jan 20,Jan 21,Dolphin
1909,Jan 22,Feb 19,Bird-of-Paradise
1909,Feb 20,Mar 20,Ocelot
1909,Mar 21,Apr 19,Goldfinch
1909,Apr 20,May 20,Beaver
1909,May 21,Jun 21,Parrot
1909,Jun 22,Jul 21,Iguana
1909,Jul 22,Aug 22,Peacock
1909,Aug 23,Sep 22,Corgi
1909,Sep 23,Oct 23,Pelican
1909,Oct 24,Nov 21,Owl
1909,Nov 22,Dec 21,Swordfish
1909,Dec 22,Dec 31,Bee
1910,Jan 01,Jan 19,Bee
1910,Jan 20,Feb 09,Bird-of-Paradise
1910,Feb 10,Feb 19,Chameleon
1910,Feb 20,Mar 20,Tarsier
1910,Mar 21,Apr 19,Doberman Pinscher
1910,Apr 20,May 20,Seagull
1910,May 21,Jun 21,Deer
1910,Jun 22,Jul 21,Pit Bull
1910,Jul 22,Aug 22,Shih Tzu
1910,Aug 23,Sep 22,Salamander
1910,Sep 23,Oct 23,Crane
1910,Oct 24,Nov 21,Octopus
1910,Nov 22,Dec 21,Golden Retriever
1910,Dec 22,Dec 31,Boxer
1911,Jan 01,Jan 19,Boxer
1911,Jan 20,Jan 29,Chameleon
1911,Jan 30,Feb 19,Pufferfish
1911,Feb 20,Mar 20,Zebra
1911,Mar 21,Apr 19,Dodo
1911,Apr 20,May 20,Wombat
1911,May 21,Jun 21,Cricket
1911,Jun 22,Jul 21,Lobster
1911,Jul 22,Aug 22,Quetzal
1911,Aug 23,Sep 22,Gazelle
1911,Sep 23,Oct 23,Marmot
1911,Oct 24,Nov 21,Squid
1911,Nov 22,Dec 21,Camel
1911,Dec 22,Dec 31,Spider
1912,Jan 01,Jan 19,Spider
1912,Jan 20,Feb 17,Pufferfish
1912,Feb 18,Feb 19,Meerkat
1912,Feb 20,Mar 20,Lemming
1912,Mar 21,Apr 19,Piranha
1912,Apr 20,May 20,Squirrel
1912,May 21,Jun 21,Chipmunk
1912,Jun 22,Jul 21,Seahorse
1912,Jul 22,Aug 22,Otter
1912,Aug 23,Sep 22,Mouse
1912,Sep 23,Oct 23,Vulture
1912,Oct 24,Nov 21,Anaconda
1912,Nov 22,Dec 21,Skunk
1912,Dec 22,Dec 31,Aardvark
1913,Jan 01,Jan 19,Aardvark
1913,Jan 20,Feb 05,Meerkat
1913,Feb 06,Feb 19,Walrus
1913,Feb 20,Mar 20,Moose
1913,Mar 21,Apr 19,Hippopotamus
1913,Apr 20,May 20,Yak
1913,May 21,Jun 21,Coyote
1913,Jun 22,Jul 21,Black Bear
1913,Jul 22,Aug 22,Sun Bear
1913,Aug 23,Sep 22,Sea Star
1913,Sep 23,Oct 23,Elephant
1913,Oct 24,Nov 21,Platypus
1913,Nov 22,Dec 21,Raccoon
1913,Dec 22,Dec 31,Ant
1914,Jan 01,Jan 19,Ant
1914,Jan 20,Jan 25,Walrus
1914,Jan 26,Feb 19,Panther
1914,Feb 20,Mar 20,Stingray
1914,Mar 21,Apr 19,Rhinoceros
1914,Apr 20,May 20,Wolf
1914,May 21,Jun 21,Chimpanzee
1914,Jun 22,Jul 21,Vampire Bat
1914,Jul 22,Aug 22,Wolverine
1914,Aug 23,Sep 22,Narwhal
1914,Sep 23,Oct 23,Tasmanian Devil
1914,Oct 24,Nov 21,Honey Badger
1914,Nov 22,Dec 21,Mongoose
1914,Dec 22,Dec 31,Komodo Dragon
1915,Jan 01,Jan 19,Komodo Dragon
1915,Jan 20,Feb 13,Panther
1915,Feb 14,Feb 19,Sloth
1915,Feb 20,Mar 20,Silkworm
1915,Mar 21,Apr 19,Llama
1915,Apr 20,May 20,Hedgehog
1915,May 21,Jun 21,Toucan
1915,Jun 22,Jul 21,Turtle
1915,Jul 22,Aug 22,Angora Rabbit
1915,Aug 23,Sep 22,Earthworm
1915,Sep 23,Oct 23,Butterfly
1915,Oct 24,Nov 21,Koala
1915,Nov 22,Dec 21,Sugar Glider
1915,Dec 22,Dec 31,Weaver Finch
1916,Jan 01,Jan 19,Weaver Finch
1916,Jan 20,Feb 02,Sloth
1916,Feb 03,Feb 19,Leopard
1916,Feb 20,Mar 20,Firefly
1916,Mar 21,Apr 19,Tyrannosaurus Rex
1916,Apr 20,May 20,Rattlesnake
1916,May 21,Jun 21,Hummingbird
1916,Jun 22,Jul 21,Hornet
1916,Jul 22,Aug 22,Orca
1916,Aug 23,Sep 22,Polar Bear
1916,Sep 23,Oct 23,Porcupine
1916,Oct 24,Nov 21,Jaguar
1916,Nov 22,Dec 21,Whale
1916,Dec 22,Dec 31,Eagle
1917,Jan 01,Jan 19,Eagle
1917,Jan 20,Jan 22,Leopard
1917,Jan 23,Feb 19,Boa Constrictor
1917,Feb 20,Mar 20,Frog
1917,Mar 21,Apr 19,Praying Mantis
1917,Apr 20,May 20,Jackal
1917,May 21,Jun 21,Lemur
1917,Jun 22,Jul 21,Snail
1917,Jul 22,Aug 22,Fox
1917,Aug 23,Sep 22,Jellyfish
1917,Sep 23,Oct 23,Ladybug
1917,Oct 24,Nov 21,Anglerfish
1917,Nov 22,Dec 21,Tarantula
1917,Dec 22,Dec 31,Alligator
1918,Jan 01,Jan 19,Alligator
1918,Jan 20,Feb 10,Boa Constrictor
1918,Feb 11,Feb 19,Unicorn
1918,Feb 20,Mar 20,Gecko
1918,Mar 21,Apr 19,Hammerhead Shark
1918,Apr 20,May 20,Kangaroo
1918,May 21,Jun 21,Great White Shark
1918,Jun 22,Jul 21,Hermit Crab
1918,Jul 22,Aug 22,Hyena
1918,Aug 23,Sep 22,Giraffe
1918,Sep 23,Oct 23,Goose
1918,Oct 24,Nov 21,Dragonfly
1918,Nov 22,Dec 21,Dove
1918,Dec 22,Dec 31,Salmon
1919,Jan 01,Jan 19,Salmon
1919,Jan 20,Jan 31,Unicorn
1919,Feb 01,Feb 19,Handfish
1919,Feb 20,Mar 20,Leafy Seadragon
1919,Mar 21,Apr 19,Catfish
1919,Apr 20,May 20,Buffalo
1919,May 21,Jun 21,Centipede
1919,Jun 22,Jul 21,Duck
1919,Jul 22,Aug 22,Swan
1919,Aug 23,Sep 22,Flamingo
1919,Sep 23,Oct 23,Clownfish
1919,Oct 24,Nov 21,Panda
1919,Nov 22,Dec 21,Tortoise
1919,Dec 22,Dec 31,Mole
1920,Jan 01,Jan 19,Mole
1920,Jan 20,Feb 19,Handfish
1920,Feb 20,Mar 20,Dolphin
1920,Mar 21,Apr 19,Cheetah
1920,Apr 20,May 20,Gorilla
1920,May 21,Jun 21,Ostrich
1920,Jun 22,Jul 21,Seal
1920,Jul 22,Aug 22,Emperor Tamarin
1920,Aug 23,Sep 22,Ferret
1920,Sep 23,Oct 23,Penguin
1920,Oct 24,Nov 21,Axolotl
1920,Nov 22,Dec 21,Raven
1920,Dec 22,Dec 31,Roadrunner
1921,Jan 01,Jan 19,Woodpecker
1921,Jan 20,Feb 07,Dolphin
1921,Feb 08,Feb 19,Bird-of-Paradise
1921,Feb 20,Mar 20,Ocelot
1921,Mar 21,Apr 19,Goldfinch
1921,Apr 20,May 20,Beaver
1921,May 21,Jun 21,Parrot
1921,Jun 22,Jul 21,Iguana
1921,Jul 22,Aug 22,Peacock
1921,Aug 23,Sep 22,Corgi
1921,Sep 23,Oct 23,Pelican
1921,Oct 24,Nov 21,Owl
1921,Nov 22,Dec 21,Swordfish
1921,Dec 22,Dec 31,Bee
1922,Jan 01,Jan 19,Bee
1922,Jan 20,Jan 27,Bird-of-Paradise
1922,Jan 28,Feb 19,Chameleon
1922,Feb 20,Mar 20,Tarsier
1922,Mar 21,Apr 19,Doberman Pinscher
1922,Apr 20,May 20,Seagull
1922,May 21,Jun 21,Deer
1922,Jun 22,Jul 21,Pit Bull
1922,Jul 22,Aug 22,Shih Tzu
1922,Aug 23,Sep 22,Salamander
1922,Sep 23,Oct 23,Crane
1922,Oct 24,Nov 21,Octopus
1922,Nov 22,Dec 21,Golden Retriever
1922,Dec 22,Dec 31,Boxer
1923,Jan 01,Jan 19,Boxer
1923,Jan 20,Feb 15,Chameleon
1923,Feb 16,Feb 19,Pufferfish
1923,Feb 20,Mar 20,Zebra
1923,Mar 21,Apr 19,Dodo
1923,Apr 20,May 20,Wombat
1923,May 21,Jun 21,Cricket
1923,Jun 22,Jul 21,Lobster
1923,Jul 22,Aug 22,Quetzal
1923,Aug 23,Sep 22,Gazelle
1923,Sep 23,Oct 23,Marmot
1923,Oct 24,Nov 21,Squid
1923,Nov 22,Dec 21,Camel
1923,Dec 22,Dec 31,Spider
1924,Jan 01,Jan 19,Spider
1924,Jan 20,Feb 04,Pufferfish
1924,Feb 05,Feb 19,Meerkat
1924,Feb 20,Mar 20,Lemming
1924,Mar 21,Apr 19,Piranha
1924,Apr 20,May 20,Squirrel
1924,May 21,Jun 21,Chipmunk
1924,Jun 22,Jul 21,Seahorse
1924,Jul 22,Aug 22,Otter
1924,Aug 23,Sep 22,Mouse
1924,Sep 23,Oct 23,Vulture
1924,Oct 24,Nov 21,Anaconda
1924,Nov 22,Dec 21,Skunk
1924,Dec 22,Dec 31,Aardvark
1925,Jan 01,Jan 19,Aardvark
1925,Jan 20,Jan 23,Meerkat
1925,Jan 24,Feb 19,Walrus
1925,Feb 20,Mar 20,Moose
1925,Mar 21,Apr 19,Hippopotamus
1925,Apr 20,May 20,Yak
1925,May 21,Jun 21,Coyote
1925,Jun 22,Jul 21,Black Bear
1925,Jul 22,Aug 22,Sun Bear
1925,Aug 23,Sep 22,Sea Star
1925,Sep 23,Oct 23,Elephant
1925,Oct 24,Nov 21,Platypus
1925,Nov 22,Dec 21,Raccoon
1925,Dec 22,Dec 31,Ant
1926,Jan 01,Jan 19,Ant
1926,Jan 20,Feb 12,Walrus
1926,Feb 13,Feb 19,Panther
1926,Feb 20,Mar 20,Stingray
1926,Mar 21,Apr 19,Rhinoceros
1926,Apr 20,May 20,Wolf
1926,May 21,Jun 21,Chimpanzee
1926,Jun 22,Jul 21,Vampire Bat
1926,Jul 22,Aug 22,Wolverine
1926,Aug 23,Sep 22,Narwhal
1926,Sep 23,Oct 23,Tasmanian Devil
1926,Oct 24,Nov 21,Honey Badger
1926,Nov 22,Dec 21,Mongoose
1926,Dec 22,Dec 31,Komodo Dragon
1927,Jan 01,Jan 19,Komodo Dragon
1927,Jan 20,Feb 01,Panther
1927,Feb 02,Feb 19,Sloth
1927,Feb 20,Mar 20,Silkworm
1927,Mar 21,Apr 19,Llama
1927,Apr 20,May 20,Hedgehog
1927,May 21,Jun 21,Toucan
1927,Jun 22,Jul 21,Turtle
1927,Jul 22,Aug 22,Angora Rabbit
1927,Aug 23,Sep 22,Earthworm
1927,Sep 23,Oct 23,Butterfly
1927,Oct 24,Nov 21,Koala
1927,Nov 22,Dec 21,Sugar Glider
1927,Dec 22,Dec 31,Weaver Finch
1928,Jan 01,Jan 19,Weaver Finch
1928,Jan 20,Jan 22,Sloth
1928,Jan 23,Feb 19,Leopard
1928,Feb 20,Mar 20,Firefly
1928,Mar 21,Apr 19,Tyrannosaurus Rex
1928,Apr 20,May 20,Rattlesnake
1928,May 21,Jun 21,Hummingbird
1928,Jun 22,Jul 21,Hornet
1928,Jul 22,Aug 22,Orca
1928,Aug 23,Sep 22,Polar Bear
1928,Sep 23,Oct 23,Porcupine
1928,Oct 24,Nov 21,Jaguar
1928,Nov 22,Dec 21,Whale
1928,Dec 22,Dec 31,Eagle
1929,Jan 01,Jan 19,Eagle
1929,Jan 20,Feb 09,Leopard
1929,Feb 10,Feb 19,Boa Constrictor
1929,Feb 20,Mar 20,Frog
1929,Mar 21,Apr 19,Praying Mantis
1929,Apr 20,May 20,Jackal
1929,May 21,Jun 21,Lemur
1929,Jun 22,Jul 21,Snail
1929,Jul 22,Aug 22,Fox
1929,Aug 23,Sep 22,Jellyfish
1929,Sep 23,Oct 23,Ladybug
1929,Oct 24,Nov 21,Anglerfish
1929,Nov 22,Dec 21,Tarantula
1929,Dec 22,Dec 31,Alligator
1930,Jan 01,Jan 19,Alligator
1930,Jan 20,Jan 29,Boa Constrictor
1930,Jan 30,Feb 19,Unicorn
1930,Feb 20,Mar 20,Gecko
1930,Mar 21,Apr 19,Hammerhead Shark
1930,Apr 20,May 20,Kangaroo
1930,May 21,Jun 21,Great White Shark
1930,Jun 22,Jul 21,Hermit Crab
1930,Jul 22,Aug 22,Hyena
1930,Aug 23,Sep 22,Giraffe
1930,Sep 23,Oct 23,Goose
1930,Oct 24,Nov 21,Dragonfly
1930,Nov 22,Dec 21,Dove
1930,Dec 22,Dec 31,Salmon
1931,Jan 01,Jan 19,Salmon
1931,Jan 20,Feb 16,Unicorn
1931,Feb 17,Feb 19,Handfish
1931,Feb 20,Mar 20,Leafy Seadragon
1931,Mar 21,Apr 19,Catfish
1931,Apr 20,May 20,Buffalo
1931,May 21,Jun 21,Centipede
1931,Jun 22,Jul 21,Duck
1931,Jul 22,Aug 22,Swan
1931,Aug 23,Sep 22,Flamingo
1931,Sep 23,Oct 23,Clownfish
1931,Oct 24,Nov 21,Panda
1931,Nov 22,Dec 21,Tortoise
1931,Dec 22,Dec 31,Mole
1932,Jan 01,Jan 19,Mole
1932,Jan 20,Feb 05,Handfish
1932,Feb 06,Feb 19,Dolphin
1932,Feb 20,Mar 20,Cheetah
1932,Mar 21,Apr 19,Gorilla
1932,Apr 20,May 20,Ostrich
1932,May 21,Jun 21,Seal
1932,Jun 22,Jul 21,Emperor Tamarin
1932,Jul 22,Aug 22,Ferret
1932,Aug 23,Sep 22,Penguin
1932,Sep 23,Oct 23,Axolotl
1932,Oct 24,Nov 21,Raven
1932,Nov 22,Dec 21,Roadrunner
1932,Dec 22,Dec 31,Woodpecker
1933,Jan 01,Jan 19,Woodpecker
1933,Jan 20,Jan 25,Dolphin
1933,Jan 26,Feb 19,Bird-of-Paradise
1933,Feb 20,Mar 20,Ocelot
1933,Mar 21,Apr 19,Goldfinch
1933,Apr 20,May 20,Beaver
1933,May 21,Jun 21,Parrot
1933,Jun 22,Jul 21,Iguana
1933,Jul 22,Aug 22,Peacock
1933,Aug 23,Sep 22,Corgi
1933,Sep 23,Oct 23,Pelican
1933,Oct 24,Nov 21,Owl
1933,Nov 22,Dec 21,Swordfish
1933,Dec 22,Dec 31,Bee
1934,Jan 01,Jan 19,Bee
1934,Jan 20,Feb 13,Bird-of-Paradise
1934,Feb 14,Feb 19,Chameleon
1934,Feb 20,Mar 20,Tarsier
1934,Mar 21,Apr 19,Doberman Pinscher
1934,Apr 20,May 20,Seagull
1934,May 21,Jun 21,Deer
1934,Jun 22,Jul 21,Pit Bull
1934,Jul 22,Aug 22,Shih Tzu
1934,Aug 23,Sep 22,Salamander
1934,Sep 23,Oct 23,Crane
1934,Oct 24,Nov 21,Octopus
1934,Nov 22,Dec 21,Golden Retriever
1934,Dec 22,Dec 31,Boxer
1935,Jan 01,Jan 19,Boxer
1935,Jan 20,Feb 03,Chameleon
1935,Feb 04,Feb 19,Pufferfish
1935,Feb 20,Mar 20,Zebra
1935,Mar 21,Apr 19,Dodo
1935,Apr 20,May 20,Wombat
1935,May 21,Jun 21,Cricket
1935,Jun 22,Jul 21,Lobster
1935,Jul 22,Aug 22,Quetzal
1935,Aug 23,Sep 22,Gazelle
1935,Sep 23,Oct 23,Marmot
1935,Oct 24,Nov 21,Squid
1935,Nov 22,Dec 21,Camel
1935,Dec 22,Dec 31,Spider
Year,Start Date,End Date,Primal Sign
1936,Jan 01,Jan 19,Spider
1936,Jan 20,Jan 23,Pufferfish
1936,Jan 24,Feb 19,Meerkat
1936,Feb 20,Mar 20,Lemming
1936,Mar 21,Apr 19,Piranha
1936,Apr 20,May 20,Squirrel
1936,May 21,Jun 21,Chipmunk
1936,Jun 22,Jul 21,Seahorse
1936,Jul 22,Aug 22,Otter
1936,Aug 23,Sep 22,Mouse
1936,Sep 23,Oct 23,Vulture
1936,Oct 24,Nov 21,Anaconda
1936,Nov 22,Dec 21,Skunk
1936,Dec 22,Dec 31,Aardvark
1937,Jan 01,Jan 19,Aardvark
1937,Jan 20,Feb 10,Meerkat
1937,Feb 11,Feb 19,Walrus
1937,Feb 20,Mar 20,Moose
1937,Mar 21,Apr 19,Hippopotamus
1937,Apr 20,May 20,Yak
1937,May 21,Jun 21,Coyote
1937,Jun 22,Jul 21,Black Bear
1937,Jul 22,Aug 22,Sun Bear
1937,Aug 23,Sep 22,Sea Star
1937,Sep 23,Oct 23,Elephant
1937,Oct 24,Nov 21,Platypus
1937,Nov 22,Dec 21,Raccoon
1937,Dec 22,Dec 31,Ant
1938,Jan 01,Jan 19,Ant
1938,Jan 20,Jan 30,Walrus
1938,Jan 31,Feb 19,Panther
1938,Feb 20,Mar 20,Stingray
1938,Mar 21,Apr 19,Rhinoceros
1938,Apr 20,May 20,Wolf
1938,May 21,Jun 21,Chimpanzee
1938,Jun 22,Jul 21,Vampire Bat
1938,Jul 22,Aug 22,Wolverine
1938,Aug 23,Sep 22,Narwhal
1938,Sep 23,Oct 23,Tasmanian Devil
1938,Oct 24,Nov 21,Honey Badger
1938,Nov 22,Dec 21,Mongoose
1938,Dec 22,Dec 31,Komodo Dragon
1939,Jan 01,Jan 19,Komodo Dragon
1939,Jan 20,Feb 18,Panther
1939,Feb 19,Feb 19,Sloth
1939,Feb 20,Mar 20,Silkworm
1939,Mar 21,Apr 19,Llama
1939,Apr 20,May 20,Hedgehog
1939,May 21,Jun 21,Toucan
1939,Jun 22,Jul 21,Turtle
1939,Jul 22,Aug 22,Angora Rabbit
1939,Aug 23,Sep 22,Earthworm
1939,Sep 23,Oct 23,Butterfly
1939,Oct 24,Nov 21,Koala
1939,Nov 22,Dec 21,Sugar Glider
1939,Dec 22,Dec 31,Weaver Finch
1940,Jan 01,Jan 19,Weaver Finch
1940,Jan 20,Feb 07,Sloth
1940,Feb 08,Feb 19,Leopard
1940,Feb 20,Mar 20,Firefly
1940,Mar 21,Apr 19,Tyrannosaurus Rex
1940,Apr 20,May 20,Rattlesnake
1940,May 21,Jun 21,Hummingbird
1940,Jun 22,Jul 21,Hornet
1940,Jul 22,Aug 22,Orca
1940,Aug 23,Sep 22,Polar Bear
1940,Sep 23,Oct 23,Porcupine
1940,Oct 24,Nov 21,Jaguar
1940,Nov 22,Dec 21,Whale
1940,Dec 22,Dec 31,Eagle
1941,Jan 01,Jan 19,Eagle
1941,Jan 20,Jan 26,Leopard
1941,Jan 27,Feb 19,Boa Constrictor
1941,Feb 20,Mar 20,Frog
1941,Mar 21,Apr 19,Praying Mantis
1941,Apr 20,May 20,Jackal
1941,May 21,Jun 21,Lemur
1941,Jun 22,Jul 21,Snail
1941,Jul 22,Aug 22,Fox
1941,Aug 23,Sep 22,Jellyfish
1941,Sep 23,Oct 23,Ladybug
1941,Oct 24,Nov 21,Anglerfish
1941,Nov 22,Dec 21,Tarantula
1941,Dec 22,Dec 31,Alligator
1942,Jan 01,Jan 19,Alligator
1942,Jan 20,Feb 14,Boa Constrictor
1942,Feb 15,Feb 19,Unicorn
1942,Feb 20,Mar 20,Gecko
1942,Mar 21,Apr 19,Hammerhead Shark
1942,Apr 20,May 20,Kangaroo
1942,May 21,Jun 21,Great White Shark
1942,Jun 22,Jul 21,Hermit Crab
1942,Jul 22,Aug 22,Hyena
1942,Aug 23,Sep 22,Giraffe
1942,Sep 23,Oct 23,Goose
1942,Oct 24,Nov 21,Dragonfly
1942,Nov 22,Dec 21,Dove
1942,Dec 22,Dec 31,Salmon
1943,Jan 01,Jan 19,Salmon
1943,Jan 20,Feb 04,Unicorn
1943,Feb 05,Feb 19,Handfish
1943,Feb 20,Mar 20,Leafy Seadragon
1943,Mar 21,Apr 19,Catfish
1943,Apr 20,May 20,Buffalo
1943,May 21,Jun 21,Centipede
1943,Jun 22,Jul 21,Duck
1943,Jul 22,Aug 22,Swan
1943,Aug 23,Sep 22,Flamingo
1943,Sep 23,Oct 23,Clownfish
1943,Oct 24,Nov 21,Panda
1943,Nov 22,Dec 21,Tortoise
1943,Dec 22,Dec 31,Mole
1944,Jan 01,Jan 19,Mole
1944,Jan 20,Jan 24,Handfish
1944,Jan 25,Feb 19,Dolphin
1944,Feb 20,Mar 20,Cheetah
1944,Mar 21,Apr 19,Gorilla
1944,Apr 20,May 20,Ostrich
1944,May 21,Jun 21,Seal
1944,Jun 22,Jul 21,Emperor Tamarin
1944,Jul 22,Aug 22,Ferret
1944,Aug 23,Sep 22,Penguin
1944,Sep 23,Oct 23,Axolotl
1944,Oct 24,Nov 21,Raven
1944,Nov 22,Dec 21,Roadrunner
1944,Dec 22,Dec 31,Woodpecker
1945,Jan 01,Jan 19,Woodpecker
1945,Jan 20,Feb 12,Dolphin
1945,Feb 13,Feb 19,Bird-of-Paradise
1945,Feb 20,Mar 20,Ocelot
1945,Mar 21,Apr 19,Goldfinch
1945,Apr 20,May 20,Beaver
1945,May 21,Jun 21,Parrot
1945,Jun 22,Jul 21,Iguana
1945,Jul 22,Aug 22,Peacock
1945,Aug 23,Sep 22,Corgi
1945,Sep 23,Oct 23,Pelican
1945,Oct 24,Nov 21,Owl
1945,Nov 22,Dec 21,Swordfish
1945,Dec 22,Dec 31,Bee
1946,Jan 01,Jan 19,Bee
1946,Jan 20,Feb 01,Bird-of-Paradise
1946,Feb 02,Feb 19,Chameleon
1946,Feb 20,Mar 20,Tarsier
1946,Mar 21,Apr 19,Doberman Pinscher
1946,Apr 20,May 20,Seagull
1946,May 21,Jun 21,Deer
1946,Jun 22,Jul 21,Pit Bull
1946,Jul 22,Aug 22,Shih Tzu
1946,Aug 23,Sep 22,Salamander
1946,Sep 23,Oct 23,Crane
1946,Oct 24,Nov 21,Octopus
1946,Nov 22,Dec 21,Golden Retriever
1946,Dec 22,Dec 31,Boxer
1947,Jan 01,Jan 19,Boxer
1947,Jan 20,Jan 21,Chameleon
1947,Jan 22,Feb 19,Pufferfish
1947,Feb 20,Mar 20,Zebra
1947,Mar 21,Apr 19,Dodo
1947,Apr 20,May 20,Wombat
1947,May 21,Jun 21,Cricket
1947,Jun 22,Jul 21,Lobster
1947,Jul 22,Aug 22,Quetzal
1947,Aug 23,Sep 22,Gazelle
1947,Sep 23,Oct 23,Marmot
1947,Oct 24,Nov 21,Squid
1947,Nov 22,Dec 21,Camel
1947,Dec 22,Dec 31,Spider
1948,Jan 01,Jan 19,Spider
1948,Jan 20,Feb 09,Pufferfish
1948,Feb 10,Feb 19,Meerkat
1948,Feb 20,Mar 20,Lemming
1948,Mar 21,Apr 19,Piranha
1948,Apr 20,May 20,Squirrel
